id,vehicleid,timestamp,BV,CHRGER,DISCHRG,CHRGNG,BATPWR
9236497,390376,3/21/2022 22:17,384,0,0,0,0
9246772,390376,3/22/2022 11:15,384,0,0,0,1
9272198,390376,3/22/2022 17:42,384,0,0,0,0
9270493,390376,3/22/2022 22:10,384,0,0,0,0
9281210,390376,3/23/2022 5:40,384,0,0,0,0
9287276,390376,3/23/2022 10:09,384,0,0,0,0
9306713,390376,3/23/2022 10:12,384,0,0,0,0
9317910,390376,3/23/2022 18:23,384,0,0,0,0
9320783,390376,3/23/2022 18:28,384,0,0,0,0
9374772,390376,3/24/2022 15:47,382,0,0,0,0
9390787,390376,3/24/2022 18:34,396,255,0,0,1
9390799,390376,3/24/2022 18:34,396,255,0,0,1
9390818,390376,3/24/2022 18:34,396,255,0,0,1
9391630,390376,3/24/2022 18:43,405,255,0,0,1
9392164,390376,3/24/2022 18:53,408,255,0,0,1
9392232,390376,3/24/2022 18:55,408,255,0,0,1
9392507,390376,3/24/2022 19:01,409,255,0,0,1
9393675,390376,3/24/2022 19:23,412,255,0,0,1
9394078,390376,3/24/2022 19:33,414,255,0,0,1
9394498,390376,3/24/2022 19:43,414,255,0,0,1
9394868,390376,3/24/2022 19:53,415,255,0,0,1
9395217,390376,3/24/2022 20:03,415,255,0,0,1
9395581,390376,3/24/2022 20:13,415,255,0,0,1
9395910,390376,3/24/2022 20:23,417,255,0,0,1
9396259,390376,3/24/2022 20:33,417,255,0,0,1
9396638,390376,3/24/2022 20:43,415,0,0,0,0
9397239,390376,3/24/2022 20:59,417,255,0,0,1
9397592,390376,3/24/2022 21:09,417,255,0,0,1
9397934,390376,3/24/2022 21:19,417,255,0,0,1
9398258,390376,3/24/2022 21:29,417,255,0,0,1
9398588,390376,3/24/2022 21:39,417,255,0,0,1
9398917,390376,3/24/2022 21:49,417,255,0,0,1
9399233,390376,3/24/2022 21:59,417,255,0,0,1
9399564,390376,3/24/2022 22:09,417,255,0,0,1
9399891,390376,3/24/2022 22:18,415,255,0,0,1
9400218,390376,3/24/2022 22:28,417,255,0,0,1
9400546,390376,3/24/2022 22:39,417,255,0,0,1
9400872,390376,3/24/2022 22:49,417,255,0,0,1
9401201,390376,3/24/2022 22:59,415,255,0,0,1
9401699,390376,3/24/2022 23:08,417,255,0,0,1
9402238,390376,3/24/2022 23:18,417,255,0,0,1
9402862,390376,3/24/2022 23:28,417,255,0,0,1
9403197,390376,3/24/2022 23:38,417,255,0,0,1
9403519,390376,3/24/2022 23:48,415,255,0,0,1
9403869,390376,3/24/2022 23:58,417,255,0,0,1
9404214,390376,3/25/2022 0:08,415,255,0,0,1
9404565,390376,3/25/2022 0:18,417,255,0,0,1
9404915,390376,3/25/2022 0:28,417,255,0,0,1
